"lang"
{
    "Language"      "Russian"
    "Tokens"
    {

        "DOTA_Chat_GlyphUsedGood"       ""
        "DOTA_Chat_GlyphUsedBad"        ""

        "arena_dota_hud_error_must_target_soul"     "Способность действует на души"

        //Kills part
        "DOTA_Chat_PlayerKilled"                    ""
        "DOTA_Chat_PlayerKilledNearby"              ""
        "DOTA_Chat_PlayerKilledNearbySingle"        ""
        "DOTA_Chat_PlayerDenied"                    ""
        "DOTA_Chat_PlayerDeniedSelf"                ""
        "DOTA_Chat_PlayerKilledGood"                ""
        "DOTA_Chat_PlayerKilledGoodNearby"          ""
        "DOTA_Chat_PlayerKilledGoodNearbySingle"    ""
        "DOTA_Chat_PlayerKilledBad"                 ""
        "DOTA_Chat_PlayerKilledBadNearby"           ""
        "DOTA_Chat_PlayerKilledBadNearbySingle"     ""
        "DOTA_Chat_PlayerKilledGeneric"             ""
        "DOTA_Chat_PlayerKilledRoshan"              ""
        "DOTA_Chat_PlayerKilledAssist"              ""
        "DOTA_Chat_PlayerKilledAssistNearby"        ""
        "DOTA_Chat_PlayerKilledAssistNearbySingle"  ""
        "DOTA_Chat_KillStreak_3_Ended"              ""
        "DOTA_Chat_KillStreak_4_Ended"              ""
        "DOTA_Chat_KillStreak_5_Ended"              ""
        "DOTA_Chat_KillStreak_6_Ended"              ""
        "DOTA_Chat_KillStreak_7_Ended"              ""
        "DOTA_Chat_KillStreak_8_Ended"              ""
        "DOTA_Chat_KillStreak_9_Ended"              ""
        "DOTA_Chat_KillStreak_10_Ended"             ""
        "DOTA_Chat_Team"                            ""
        "DOTA_Chat_All"                             ""
        
        "dragon_bubble_text"        "Стой рядом со мной 10 секунд, и дай мне 10 000 золота, тогда я сожгу эту реку."
        "bitch_lina_bubble_text"                            "Эй, хочешь хорошо провести время? Тогда дай мне 2 Casino Coins"
        "riki_pocket_riki_chat_notify_text"                                           "%s1 продал Riki."
        
        //"DOTA_Basics"                         "ABILITIES"
        //"DOTA_Upgrades"                           "ITEMS"
        //"DOTA_Shop_Category_Basics"               "ABILITIES"
        //"DOTA_Shop_Category_Upgrades"         "ITEMS"
        
        // ******************** UNITS ********************
        "npc_dummy_unit"                                                                  "Dummy"
        "npc_dummy_blank"                                                                 "Blank Dummy"
        "npc_dummy_flying"                                                                "Flying Dummy"

        "npc_dota_neutral_easy_variant1"                                                  "Крип Легкого Лагеря"
        "npc_dota_neutral_medium_variant1"                                                "Крип Среднего Лагеря"
        "npc_dota_neutral_hard_variant1"                                                  "Крип Сложного Лагеря"
        "npc_dota_a_fountain_team2"                                                       "Фонтан Сил Свет"
        "npc_dota_a_fountain_team3"                                                       "Фонтан Сил Тьмы"
        "npc_dota_boss_keeper"                                                            "Хранитель Боссов"
        "npc_dota_statue_boss_fire"                                                       "Статуя Демона Огня"
        "npc_dota_boss_fire"                                                              "Демон Огня"
        "npc_dota_statue_boss_water"                                                      "Статуя Защитницы Глубины"
        "npc_dota_boss_water"                                                             "Защитница Глубины"
        "npc_dota_statue_boss_earth"                                                      "Статуя Земляной Конструкции"
        "npc_dota_boss_earth"                                                             "Землянная Конструкция"
        "npc_dota_statue_boss_wind"                                                       "Статуя Материализованного Ветра"
        "npc_dota_boss_wind"                                                              "Материализованный Ветер"
        "npc_dota_dragon"                                                                 "Дракон"
        "npc_dota_a_tower_goodguys"                                                       "Башня"
        "npc_dota_a_tower_badguys"                                                        "Башня"
        "npc_dota_casino_slotmachine"                                                     "Слотмашина"
        "npc_dota_casino_lina"                                                            "Lina"
        "npc_dota_arena_statue"                                                           "Статуя"
        "containers_shop_shards"                                                          "Магазин Баффов"
        "containers_shop_items"                                                           "Магазин Предметов"
        "npc_dota_lucifers_claw_doomling"                                                 "Думлинг"
        "npc_dota_statue_boss_primal"                                                     "Статуя Хранителя Основных Элементов"
        "npc_dota_boss_primal"                                                            "Хранитель Основных Элементов"
        "npc_dota_boss_heaven"                                                            "Защитник Небес"
        "npc_dota_boss_hell"                                                              "Защитник Ада"
        "npc_dota_boss_roshan"                                                            "Рошан"
        "npc_dota_beastmaster_boar_base"                                                  "Кабан"
        "npc_dota_beastmaster_hawk_base"                                                  "Ястреб"
        "npc_dota_warlock_golem_base"                                                     "Warlock Golem"
        "npc_dota_warlock_golem_scepter_base"                                             "Warlock Golem"
        "npc_dota_warlock_minigolem"                                                      "Mini Golem"

        // ******************** ABILITY MODIFIERS ********************
        "DOTA_Tooltip_modifier_dragon_burnriver_gold_effect"                              "Дракон принимает деньги."
        "DOTA_Tooltip_modifier_dragon_burnriver_gold_effect_Description"                  "Необходимо 10 стаков."

        "DOTA_Tooltip_modifier_boss_fire_burningsoul_effect"                              "Burning Soul Aura"
        "DOTA_Tooltip_modifier_boss_fire_burningsoul_effect_Description"                  "Taking 150 damage per second, and missing %dMODIFIER_PROPERTY_MISS_PERCENTAGE% of attacks."

        "DOTA_Tooltip_modifier_tower_middle_protector_passive_stack"                      "Middle Protector Stack"
        "DOTA_Tooltip_modifier_tower_middle_protector_passive_stack_Description"          "Добавляет %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% скорости атаки, %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% урона и %dMODIFIER_PROPERTY_ATTACK_RANGE_BONUS% радиуса атаки."

        "DOTA_Tooltip_modifier_casino_bitch_lina_effect"                                  "Эффект от Lina"
        "DOTA_Tooltip_modifier_casino_bitch_lina_effect_Description"                      "Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, восстановление здоровья увеличена на %MODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%."

        "DOTA_Tooltip_modifier_arthas_rage_of_arthas_stun"             "Оглушение"
        "DOTA_Tooltip_modifier_arthas_rage_of_arthas_stun_Description"      "Оглушен криком Папича."

        "DOTA_Tooltip_arthas_plus_morality_buff"                       "Плюс Мораль"
        "DOTA_Tooltip_arthas_plus_morality_buff_Description"           "Добавляет %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% скорости передвижения и %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% скорости атаки."

        "DOTA_Tooltip_modifier_arthas_vikared"                         "Vikared"
        "DOTA_Tooltip_modifier_arthas_vikared_Description"             "Смещен из измерения, регенерирует %dMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%% от максимального здоровья в секунду."

        "DOTA_Tooltip_modifier_multicast_lua"                          "Multicast"
        "DOTA_Tooltip_modifier_multicast_lua_Description"              "Даёт вам шанс использовать заклинания по нескольку раз за одно применение."

        "DOTA_Tooltip_modifier_shadow_word_self_secondary"                                "Shadow Word Self Secondary"
        "DOTA_Tooltip_modifier_shadow_word_self_secondary_Description"                    "Вдвойне слабее исцеляется со временем."

        "DOTA_Tooltip_modifier_shadow_word_self"                                          "Shadow Word Self"
        "DOTA_Tooltip_modifier_shadow_word_self_Description"                              "Вдвойне сильнее исцеляется со временем."

        "DOTA_Tooltip_modifier_shadow_word_buff"                                          "Shadow Word Buff"
        "DOTA_Tooltip_modifier_shadow_word_buff_Description"                              "Исцеляется со временем."

        "DOTA_Tooltip_modifier_shadow_word_debuff"                                        "Shadow Word Debuff"
        "DOTA_Tooltip_modifier_shadow_word_debuff_Description"                            "Получает периодический урон, есть шанс на создание Mini Golem."

        "DOTA_Tooltip_modifier_upheaval_arena_debuff"                                     "Upheaval"
        "DOTA_Tooltip_modifier_upheaval_arena_debuff_Description"                         "Скорость передвижения снижена."

        "DOTA_Tooltip_modifier_attribute_bonus_arena"                                     "Attribute Bonus"
        "DOTA_Tooltip_modifier_attribute_bonus_arena_Description"                         "+%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS% ко всем атрибутам, +%dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% к скорости передвижения."

        "DOTA_Tooltip_modifier_tether_caster_aghanims"                                    "Связан"
        "DOTA_Tooltip_modifier_tether_caster_aghanims_Description"                        "Скорость передвижения повышена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, реген связанных союзников увеличен."

        "DOTA_Tooltip_modifier_tether_ally_aghanims"                                      "Связан"
        "DOTA_Tooltip_modifier_tether_ally_aghanims_Description"                          "Скорость передвижения повышена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, Wisp увеличивает реген."

        "DOTA_Tooltip_modifier_tether_slow_aghanims"                                      "Tether Slow"
