""
{
	"DOTA_Tooltip_ability_saber_mana_burst"                                           "Mana Burst"
	"DOTA_Tooltip_ability_saber_mana_burst_Description"                               "Saber infuses her weapon and armor with magical energy, wasting %mana_wasted_pct%%% of her mana pool, temporary increasing damage and armor, based on wasted mana. If Saber has less than %weakness_mana_pct%%% mana, she loses her ability to attack and some armor. If Saber has less than %purge_health_pct%%% of health, she also purges all debuffs. If health is dropped below %purge_stun_health_pct%%%, casting this ability also purges stuns from her."
	"DOTA_Tooltip_ability_saber_mana_burst_mana_wasted_pct"                           "%MANA COST:"
	"DOTA_Tooltip_ability_saber_mana_burst_damage_per_mana"                           "DAMAGE PER MANA POINT:"
	"DOTA_Tooltip_ability_saber_mana_burst_armor_per_mana"                            "ARMOR PER MANA POINT:"
	"DOTA_Tooltip_ability_saber_mana_burst_duration"                                  "DURATION:"
	"DOTA_Tooltip_ability_saber_mana_burst_purge_health_pct"                          "%PURGE REQUIRED HEALTH:"
	"DOTA_Tooltip_ability_saber_mana_burst_purge_stun_health_pct"                     "%STUN PURGE REQUIRED HEALTH:"
	"DOTA_Tooltip_ability_saber_mana_burst_weakness_mana_pct"                         "%WEAKNESS MANA:"
	"DOTA_Tooltip_ability_saber_mana_burst_weakness_disarmor"                         "WEAKNESS ARMOR REDUCTION:"
	"DOTA_Tooltip_modifier_saber_mana_burst_active"                                   "Mana Burst"
	"DOTA_Tooltip_modifier_saber_mana_burst_active_Description"                       "Damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%, armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"

	"DOTA_Tooltip_ability_saber_instinct"                                             "Instinct"
	"DOTA_Tooltip_ability_saber_instinct_Description"                                 "Extremely honed Instincts that have gotten her through many battles, allows her to evade ranged attack and block some part of melee attacks."
	"DOTA_Tooltip_ability_saber_instinct_ranged_evasion_pct"                          "%RANGED EVASION:"
	"DOTA_Tooltip_ability_saber_instinct_melee_block_chance"                          "%MELEE BLOCK CHANCE:"
	"DOTA_Tooltip_ability_saber_instinct_melee_damage_pct"                            "%MELEE DAMAGE BLOCK:"

	"DOTA_Tooltip_ability_saber_invisible_air"                                        "Invisible Air"
	"DOTA_Tooltip_ability_saber_invisible_air_Description"                            "Saber releases sheath of wind that covers Excalibur, causing previously compressed wind to push all enemies around and deal them damage, that increases with each second from last use."
	"DOTA_Tooltip_ability_saber_invisible_air_Note0"                                  "The center of effect is not the Saber herself, but her sword"
	"DOTA_Tooltip_ability_saber_invisible_air_damage_per_second"                      "DAMAGE INCREASE PER SECOND:"
	"DOTA_Tooltip_ability_saber_invisible_air_damage_max"                             "DAMAGE LIMIT:"
	"DOTA_Tooltip_ability_saber_invisible_air_aoe_radius"                             "AREA OF EFFECT:"
	"DOTA_Tooltip_ability_saber_invisible_air_push_velocity"                          "PUSH POWER:"
	"DOTA_Tooltip_modifier_saber_invisible_air"                                       "Invisible Air"
	"DOTA_Tooltip_modifier_saber_invisible_air_Description"                           "Next Invisible Air activation will deal %dMODIFIER_PROPERTY_TOOLTIP% damage"

	"DOTA_Tooltip_ability_saber_avalon"                                               "Avalon"
	"DOTA_Tooltip_ability_saber_avalon_Description"                                   "Scabbard of Excalibur, that gives immortality to it's owner. Passively heals Saber, based on remaining mana percentage. While channeled gives Saber 'absolute defense' that completely shields her in the domain of fairies."
	"DOTA_Tooltip_ability_saber_avalon_bonus_health_regen_max"                        "MAX HEALTH REGEN:"
	"DOTA_Tooltip_ability_saber_avalon_bonus_health_regen_min"                        "MIN HEALTH REGEN:"
	"DOTA_Tooltip_ability_saber_avalon_duration"                                      "MAX CHANNEL DURATION:"
	"DOTA_Tooltip_modifier_saber_avalon"                                              "Avalon"
	"DOTA_Tooltip_modifier_saber_avalon_Description"                                  "Health regeneration increased by %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%"
	"DOTA_Tooltip_modifier_saber_avalon_invulnerability"                              "Avalon"
	"DOTA_Tooltip_modifier_saber_avalon_invulnerability_Description"                  "Invulnerable"

	"DOTA_Tooltip_ability_saber_excalibur"                                            "Excalibur"
	"DOTA_Tooltip_ability_saber_excalibur_Description"                                "After short delay this legendary sword transforms %mana_pct%%% of magical energy of it's owner to pure light, resulting a large beam of light to deal high damage to all units it touches, based on wasted mana points."
	"DOTA_Tooltip_ability_saber_excalibur_aghanim_description"                        "Increases damage per mana point, range and creates 2 additional beams"
	"DOTA_Tooltip_ability_saber_excalibur_mana_pct"                                   "%TRANSFORMED MANA POINTS:"
	"DOTA_Tooltip_ability_saber_excalibur_damage_per_mana"                            "DAMAGE PER MANA POINT:"
	"DOTA_Tooltip_ability_saber_excalibur_damage_per_mana_scepter"                    "SCEPTER DAMAGE PER MANA POINT:"
	"DOTA_Tooltip_ability_saber_excalibur_cast_range"                                 "RANGE:"
	"DOTA_Tooltip_ability_saber_excalibur_cast_range_scepter"                         "RANGE WITH SCEPTER:"
	"DOTA_Tooltip_ability_saber_excalibur_channel_time"                               "CHANNEL DURATION:"
	"DOTA_Tooltip_ability_saber_excalibur_width"                                      "BEAM WIDTH:"
}
